label,seq,ax,ay,az,gx,gy,gz,mx,my,mz
accel_level,936,-0.00732,-0.03296,1.01758,-0.00533,-0.00852,0.00453,27.21,39.77,56.51
accel_level,937,-0.01172,-0.0376,1.01465,-0.00067,-0.00826,0.00812,26.31,39.47,55.31
accel_level,938,-0.00342,-0.03491,1.01147,0.00133,-0.01052,0.00679,26.76,39.92,56.81
accel_level,939,-0.00879,-0.0354,1.01489,-0.0036,-0.00892,0.00639,26.76,39.92,56.81
accel_level,940,-0.00659,-0.0293,1.01807,-0.00333,-0.00786,0.01252,28.4,38.57,56.96
accel_level,941,-0.01123,-0.03223,1.0083,-0.00839,-0.01292,0.00506,28.11,39.47,55.61
accel_level,942,-0.01025,-0.03442,1.01514,-0.00146,-0.01025,0.00772,27.36,39.47,55.61
accel_level,943,-0.00757,-0.03589,1.01611,-0.00053,-0.00905,0.00346,27.06,40.66,55.61
accel_level,944,-0.00464,-0.03247,1.01416,-0.00173,-0.00746,0.00306,27.06,40.66,55.61
accel_level,945,-0.00952,-0.03516,1.0166,-0.00146,-0.00866,0.00466,27.81,40.66,55.31
accel_level,946,-0.00952,-0.03735,1.01245,-0.00799,-0.00679,0.00426,27.66,40.07,57.71
accel_level,947,-0.00244,-0.03735,1.01953,0.00186,-0.00905,0.00173,26.16,39.32,56.51
accel_level,948,0.00024,-0.0354,1.01636,-0.00613,-0.00692,0.00626,26.16,39.32,56.51
accel_level,949,-0.00439,-0.03955,1.00952,-0.00226,-0.00852,0.00679,27.21,39.32,55.91
accel_level,950,-0.00366,-0.03101,1.01294,0.0024,-0.01531,0.00759,26.46,39.02,55.91
accel_level,951,-0.01099,-0.02856,1.01392,-0.00107,-0.01012,0.00919,25.71,40.51,56.51
accel_level,952,-0.00488,-0.03149,1.01147,0.00027,-0.00067,0.00746,27.21,39.77,56.96
accel_level,953,-0.00684,-0.03296,1.01685,-0.00306,-0.00985,0.00732,27.21,39.77,56.96
accel_level,954,-0.0105,-0.02881,1.01587,-0.00546,-0.00892,0.00972,27.96,39.32,57.26
accel_level,955,-0.00562,-0.03394,1.01343,-0.00546,-0.00373,0.00852,27.66,39.77,56.96
accel_level,956,-0.00391,-0.03394,1.01294,-0.00533,-0.00679,0.00493,26.76,39.92,56.36
accel_level,957,-0.00269,-0.03345,1.01489,-0.0028,-0.00919,0.00333,26.76,39.92,56.36
accel_level,958,-0.00757,-0.03589,1.01929,-0.00559,-0.00945,0.00746,27.96,39.77,57.26
accel_level,959,-0.00732,-0.03418,1.01978,-0.00293,-0.00706,0.01039,27.06,40.66,56.36
accel_level,960,-0.00073,-0.03003,1.01514,-0.00067,-0.00519,0.00852,28.11,39.47,56.06
